N,P,K,temperature,humidity,soil,season,label
90,42,43,20.87974371,82.00274423,Clay,Monsoon,rice
85,58,41,21.77046169,80.31964408,Black,Monsoon,rice
60,55,44,23.00445915,82.3207629,Black,Monsoon,rice
74,35,40,26.49109635,80.15836264,Clay,Monsoon,rice
78,42,42,20.13017482,81.60487287,Black,Monsoon,rice
69,37,42,23.05804872,83.37011772,Black,Monsoon,rice
69,55,38,22.70883798,82.63941394,Sandy,Monsoon,rice
94,53,40,20.27774362,82.89408619,Sandy,Monsoon,rice
89,54,38,24.51588066,83.53521629999999,Clay,Monsoon,rice
68,58,38,23.22397386,83.03322691,Loamy,Monsoon,rice
91,53,40,26.52723513,81.41753846,Sandy,Monsoon,rice
90,46,42,23.97898217,81.45061596,Black,Monsoon,rice
78,58,44,26.80079604,80.88684822,Sandy,Monsoon,rice
93,56,36,24.01497622,82.05687182,Clay,Monsoon,rice
94,50,37,25.66585205,80.66385045,Clay,Monsoon,rice
60,48,39,24.28209415,80.30025587,Black,Monsoon,rice
85,38,41,21.58711777,82.7883708,Loamy,Monsoon,rice
91,35,39,23.79391957,80.41817957,Clay,Monsoon,rice
77,38,36,21.8652524,80.1923008,Sandy,Monsoon,rice
88,35,40,23.57943626,83.58760316,Sandy,Monsoon,rice
89,45,36,21.32504158,80.47476396,Loamy,Monsoon,rice
76,40,43,25.15745531,83.11713476,Sandy,Monsoon,rice
67,59,41,21.94766735,80.97384195,Loamy,Monsoon,rice
83,41,43,21.0525355,82.67839517,Loamy,Monsoon,rice
98,47,37,23.48381344,81.33265073,Black,Monsoon,rice
66,53,41,25.0756354,80.52389148,Black,Monsoon,rice
97,59,43,26.35927159,84.04403589,Loamy,Monsoon,rice
97,50,41,24.52922681,80.54498576,Black,Monsoon,rice
60,49,44,20.77576147,84.49774397,Loamy,Monsoon,rice
84,51,35,22.30157427,80.64416466,Loamy,Monsoon,rice
73,57,41,21.44653958,84.94375962,Sandy,Monsoon,rice
92,35,40,22.17931888,80.33127223,Loamy,Monsoon,rice
85,37,39,24.52783742,82.73685569,Loamy,Monsoon,rice
98,53,38,20.26707606,81.63895217,Sandy,Monsoon,rice
88,54,44,25.7354293,83.88266234,Loamy,Monsoon,rice
95,55,42,26.79533926,82.1480873,Sandy,Monsoon,rice
99,57,35,26.75754171,81.17734011,Sandy,Monsoon,rice
95,39,36,23.86330467,83.15250801,Sandy,Monsoon,rice
60,43,44,21.01944696,82.95221726,Black,Monsoon,rice
63,44,41,24.17298839,83.7287574,Sandy,Monsoon,rice
62,42,36,22.78133816,82.06719137,Loamy,Monsoon,rice
64,45,43,25.62980105,83.52842314,Sandy,Monsoon,rice
83,60,36,25.59704938,80.14509262,Clay,Monsoon,rice
82,40,40,23.83067496,84.81360127,Loamy,Monsoon,rice
85,52,45,26.31355498,82.36698992,Black,Monsoon,rice
91,35,38,24.8972823,80.52586088,Loamy,Monsoon,rice
76,49,42,24.958779,84.47963372,Sandy,Monsoon,rice
74,39,38,23.24113501,84.59201843,Black,Monsoon,rice
79,43,39,21.66628296,80.70960551,Black,Monsoon,rice
88,55,45,24.63544858,80.41363018,Black,Monsoon,rice
60,36,43,23.43121862,83.06310136,Sandy,Monsoon,rice
76,60,39,20.0454142,80.3477562,Clay,Monsoon,rice
93,56,42,23.85724032,82.22572988,Black,Monsoon,rice
65,60,43,21.97199397,81.89918197,Sandy,Monsoon,rice
95,52,36,26.22916897,83.83625819,Sandy,Monsoon,rice
75,38,39,23.44676801,84.79352417,Loamy,Monsoon,rice
74,54,38,25.65553461,83.47021081,Black,Monsoon,rice
91,36,45,24.44345477,82.45432595,Sandy,Monsoon,rice
71,46,40,20.2801937,82.1235421,Black,Monsoon,rice
99,55,35,21.7238313,80.2389895,Clay,Monsoon,rice
72,40,38,20.41447029,82.20802629,Black,Monsoon,rice
83,58,45,25.75528612,83.51827127,Sandy,Monsoon,rice
93,58,38,20.61521424,83.77345559,Clay,Monsoon,rice
70,36,42,21.84106875,80.72886384,Clay,Monsoon,rice
76,47,42,20.08369642,83.29114712,Sandy,Monsoon,rice
99,41,36,24.45802087,82.74835604,Clay,Monsoon,rice
99,54,37,21.14347496,80.33502926,Sandy,Monsoon,rice
86,59,35,25.78720567,82.11124033,Clay,Monsoon,rice
69,46,41,23.64124821,80.28597873,Sandy,Monsoon,rice
91,56,37,23.43191632,80.56887849,Loamy,Monsoon,rice
61,52,41,24.97669518,83.891805,Clay,Monsoon,rice
67,45,38,22.72791041,82.17068809999998,Black,Monsoon,rice
79,42,37,24.87300744,82.84022551,Clay,Monsoon,rice
78,43,42,21.32376327,83.00320459,Black,Monsoon,rice
75,54,36,26.29465461,84.56919326,Black,Monsoon,rice
97,36,45,22.2286982,81.85872947,Clay,Monsoon,rice
67,47,44,26.73072391,81.78596776,Black,Monsoon,rice
73,35,38,24.88921174,81.97927117,Sandy,Monsoon,rice
77,36,37,26.88444878,81.46033732,Loamy,Monsoon,rice
81,41,38,22.67846116,83.72874389,Black,Monsoon,rice
68,57,43,26.08867875,80.37979919,Sandy,Monsoon,rice
72,45,35,25.42977518,82.94682591,Sandy,Monsoon,rice
61,53,43,26.40323239,81.05635517,Loamy,Monsoon,rice
67,43,39,26.04371967,84.96907151,Sandy,Monsoon,rice
67,58,39,25.2827223,80.54372813,Sandy,Monsoon,rice
66,60,38,22.08576562,83.47038318,Loamy,Monsoon,rice
82,43,38,23.28617173,81.43321641,Sandy,Monsoon,rice
84,50,44,25.48591986,81.40633547,Sandy,Monsoon,rice
81,53,42,23.67575393,81.03569343,Sandy,Monsoon,rice
91,50,40,20.82477109,84.1341879,Loamy,Monsoon,rice
93,53,38,26.92995077,81.91411159,Black,Monsoon,rice
90,44,38,23.83509503,83.88387074,Black,Monsoon,rice
81,45,35,26.52872817,80.12267476,Loamy,Monsoon,rice
78,40,38,26.46428311,83.85642678,Black,Monsoon,rice
60,51,36,22.69657794,82.81088865,Loamy,Monsoon,rice
88,46,42,22.68319059,83.46358271,Clay,Monsoon,rice
93,47,37,21.53346343,82.14004101,Clay,Monsoon,rice
60,55,45,21.40865769,83.32931909999998,Sandy,Monsoon,rice
78,35,44,26.54348085,84.67353597,Black,Monsoon,rice
65,37,40,23.35905428,83.59512273,Sandy,Monsoon,rice
71,54,16,22.61359953,63.69070564,Sandy,Summer,maize
61,44,17,26.10018422,71.57476937,Clay,Winter,maize
80,43,16,23.55882094,71.59351368,Clay,Summer,maize
73,58,21,19.97215954,57.68272924,Clay,Summer,maize
61,38,20,18.47891261,62.69503871,Sandy,Summer,maize
68,41,16,21.77689322,57.80840636,Loamy,Winter,maize
93,41,17,25.6217169,66.50415474,Loamy,Winter,maize
89,60,19,25.19192419,66.69029010000001,Sandy,Summer,maize
76,44,17,20.41683147,62.55424820000001,Sandy,Summer,maize
67,60,25,24.92162194,66.78627406,Sandy,Winter,maize
70,44,19,23.31689124,73.4541537,Sandy,Winter,maize
90,49,21,24.84016732,68.3584573,Loamy,Summer,maize
62,52,16,22.27526694,58.84015925,Clay,Summer,maize
92,44,16,18.87751445,65.76816093,Loamy,Winter,maize
66,54,21,25.19008683,60.200168700000006,Sandy,Summer,maize
63,58,22,18.25405352,55.28220433,Loamy,Summer,maize
70,47,17,24.612911800000006,70.4162444,Clay,Winter,maize
61,41,17,25.1420613,65.26185135,Loamy,Summer,maize
66,53,19,23.09348056,60.11593810000001,Loamy,Summer,maize
74,55,19,18.05033737,62.89366992,Loamy,Summer,maize
77,57,21,24.9321581,73.80435276,Clay,Summer,maize
99,50,15,18.14710054,71.09445342,Sandy,Summer,maize
74,56,22,18.28362235,66.65952796,Clay,Summer,maize
83,45,21,18.83344471,58.75082029,Sandy,Summer,maize
100,48,16,25.71895816,67.22190688,Sandy,Summer,maize
79,51,16,25.33797709,68.49835977,Clay,Winter,maize
94,39,18,23.89114571,57.48775781,Sandy,Winter,maize
75,49,15,21.53574127,71.50905983,Sandy,Winter,maize
78,48,22,23.08974909,63.10459626,Sandy,Summer,maize
87,54,20,25.61707368,63.4711755,Clay,Winter,maize
87,35,25,21.44526922,63.1621551,Loamy,Summer,maize
63,43,19,18.51816776,55.53128131,Clay,Winter,maize
84,57,25,22.53510514,67.99257471,Loamy,Summer,maize
64,35,23,23.02038334,61.89472002,Sandy,Summer,maize
60,46,22,24.89364635,65.61418761,Clay,Summer,maize
98,44,21,25.77175115,74.089114,Clay,Winter,maize
75,56,18,19.39851734,62.35750641,Sandy,Summer,maize
86,55,21,21.54156232,59.64024162,Clay,Winter,maize
98,35,18,23.79746068,74.82913698,Loamy,Winter,maize
76,57,18,18.9802729,74.52600826,Loamy,Winter,maize
99,56,17,24.10859207,73.13112261,Loamy,Summer,maize
60,44,23,24.7947077,70.04556743,Sandy,Summer,maize
74,48,17,21.63162756,60.27766379,Loamy,Summer,maize
89,60,17,25.37548751,57.21025565,Sandy,Winter,maize
69,51,23,22.21738222,72.85462807,Clay,Winter,maize
96,46,22,20.58314011,69.00128641,Loamy,Summer,maize
61,60,15,24.87502824,68.74248334,Loamy,Winter,maize
74,58,18,20.03728219,56.35606753,Clay,Winter,maize
74,43,23,25.95263264,61.89082199,Loamy,Winter,maize
63,43,17,19.28889933,65.47050802,Clay,Summer,maize
99,36,20,20.57981887,65.34583901,Clay,Summer,maize
77,36,23,24.71417533,56.73426469,Clay,Summer,maize
87,60,23,20.27317074,63.91281869,Loamy,Summer,maize
60,38,17,18.41932981,64.23580251,Loamy,Summer,maize
94,54,17,23.39128187,61.74427165,Sandy,Winter,maize
95,38,22,19.84939404,61.24500053,Sandy,Winter,maize
84,44,21,21.869274,61.91044947,Sandy,Winter,maize
77,58,19,22.8056033,56.50768935,Sandy,Winter,maize
66,44,20,19.0781471,69.02298571,Clay,Summer,maize
63,35,16,22.02720976,65.35549924,Loamy,Summer,maize
79,45,20,23.80546189,59.24537979,Sandy,Summer,maize
72,60,25,18.52510753,69.0276233,Sandy,Summer,maize
67,51,24,23.50297882,61.32026065,Sandy,Summer,maize
86,36,24,26.54986394,72.89187265,Sandy,Summer,maize
76,48,18,19.29563411,69.63481219,Sandy,Summer,maize
75,53,18,20.68899915,59.4375337,Clay,Winter,maize
81,45,23,19.32666088,68.03449300000001,Loamy,Summer,maize
73,45,21,24.60532218,73.58868502,Clay,Winter,maize
71,35,24,22.27373646,59.52193158,Sandy,Summer,maize
96,54,22,25.70196694,61.33450447,Clay,Summer,maize
99,39,18,19.20129357,68.30578978,Loamy,Summer,maize
62,48,20,21.70181447,60.47470519,Clay,Winter,maize
86,37,16,20.51716779,59.21235483,Sandy,Summer,maize
94,50,19,23.30355338,73.62548442,Sandy,Winter,maize
76,39,24,24.2547451,55.64709899,Clay,Summer,maize
77,52,17,24.86374934,65.7420046,Sandy,Summer,maize
74,39,23,22.6265115,65.77472881,Clay,Summer,maize
81,49,20,18.04185513,60.61494304,Sandy,Winter,maize
63,42,21,23.26237612,72.33125523,Sandy,Summer,maize
99,38,21,22.88330922,71.59722446,Loamy,Summer,maize
90,52,25,25.97482359,69.36385721,Clay,Winter,maize
68,40,19,26.14384005,66.20569924,Clay,Winter,maize
60,57,24,18.66116213,61.55327249,Loamy,Summer,maize
71,52,18,25.10787449,55.97732754,Sandy,Summer,maize
61,59,17,23.33844615,59.24580604,Loamy,Winter,maize
88,38,15,25.08239719,65.92195844,Loamy,Summer,maize
65,60,22,25.36768364,72.52054555,Clay,Winter,maize
78,37,22,25.34217103,63.31801994,Loamy,Summer,maize
78,58,15,25.00933355,67.816568,Clay,Summer,maize
92,60,23,18.66746724,71.516474,Sandy,Summer,maize
79,59,17,20.37999665,63.73849998,Clay,Winter,maize
91,55,15,18.09300227,72.61024172,Loamy,Summer,maize
76,51,18,26.16985907,71.96246617,Loamy,Summer,maize
87,48,25,18.65396672,61.37879671,Clay,Winter,maize
71,60,22,26.07470121,59.37147589,Loamy,Summer,maize
90,57,24,18.92851916,72.80086137,Loamy,Summer,maize
67,35,22,23.30546753,63.24648023,Loamy,Winter,maize
60,54,19,18.74826712,62.49878458,Loamy,Summer,maize
83,58,23,19.74213321,59.66263104,Loamy,Summer,maize
83,57,19,25.73044432,70.74739256,Clay,Winter,maize
40,72,77,17.02498456,16.98861173,Black,Summer,chickpea
23,72,84,19.02061277,17.13159126,Clay,Summer,chickpea
39,58,85,17.88776475,15.40589717,Sandy,Summer,chickpea
22,72,85,18.86805647,15.65809214,Loamy,Summer,chickpea
36,67,77,18.36952567,19.56381041,Black,Summer,chickpea
32,73,81,20.45078582,15.40312102,Sandy,Winter,chickpea
58,70,84,20.6543203,16.60820843,Loamy,Summer,chickpea
59,70,84,17.3348681,18.74926979,Black,Summer,chickpea
42,62,75,18.17912258,18.90426935,Black,Summer,chickpea
28,74,81,18.01272266,18.30968112,Clay,Summer,chickpea
58,66,79,20.99373558,19.33470387,Clay,Winter,chickpea
43,66,79,19.46233971,15.22538951,Black,Summer,chickpea
58,63,81,19.81344531,14.69765308,Clay,Summer,chickpea
23,62,85,18.97424756,19.5161216,Black,Summer,chickpea
27,62,77,18.19737048,14.71070537,Clay,Summer,chickpea
28,72,84,18.72963144,19.18197264,Loamy,Summer,chickpea
50,56,76,20.99502153,19.8601304,Black,Summer,chickpea
39,71,84,20.28155898,16.39535215,Black,Summer,chickpea
25,78,76,17.48042641,15.7559405,Black,Summer,chickpea
31,70,77,20.88818675,14.32313811,Loamy,Winter,chickpea
26,80,83,17.08498521,16.14565756,Black,Summer,chickpea
25,68,77,20.09340593,15.11279612,Black,Summer,chickpea
31,78,76,17.57212145,14.99927489,Clay,Summer,chickpea
60,68,83,19.12065218,18.43475844,Clay,Summer,chickpea
59,62,83,18.57665902,19.22008229,Black,Summer,chickpea
22,67,78,17.16606398,14.42457525,Loamy,Summer,chickpea
36,65,80,18.2872007,16.67921616,Loamy,Summer,chickpea
59,60,84,19.03025305,18.66725565,Black,Winter,chickpea
54,77,85,17.141861399999996,17.0662427,Black,Summer,chickpea
43,68,81,17.47809436,17.93253975,Clay,Summer,chickpea
28,76,82,20.56601874,14.25803981,Clay,Summer,chickpea
42,79,85,17.22385224,15.82069268,Loamy,Summer,chickpea
32,60,83,19.69141713,19.44225438,Clay,Winter,chickpea
22,78,76,17.84851658,19.09172907,Clay,Summer,chickpea
31,79,75,18.8202251,16.1074793,Black,Summer,chickpea
28,58,81,17.47500984,16.54314829,Loamy,Winter,chickpea
57,58,77,18.72649425,17.58406365,Black,Summer,chickpea
49,55,78,18.65580107,16.17772668,Black,Summer,chickpea
46,76,77,18.2356751,19.68538502,Clay,Summer,chickpea
54,61,77,18.81198127,15.21618225,Loamy,Summer,chickpea
38,60,76,18.65054116,17.80852431,Clay,Summer,chickpea
59,55,79,20.36720401,16.89574311,Clay,Summer,chickpea
36,76,75,18.38120357,16.63805158,Clay,Summer,chickpea
57,68,81,17.17012591,17.30457712,Black,Summer,chickpea
35,66,81,19.37101121,15.77458129,Loamy,Summer,chickpea
35,64,78,17.92845928,14.27327988,Black,Summer,chickpea
52,60,79,19.45339934,18.23490739,Black,Summer,chickpea
27,76,83,19.12829388,14.92241479,Loamy,Summer,chickpea
57,60,84,19.1034283,17.26184541,Clay,Summer,chickpea
52,68,78,17.48504075,16.96070581,Clay,Summer,chickpea
43,79,79,19.40751744,18.98030507,Black,Summer,chickpea
44,74,85,20.18649426,19.63719995,Black,Summer,chickpea
24,55,78,17.30287885,15.15405941,Clay,Summer,chickpea
29,77,75,17.50361137,15.48083156,Black,Summer,chickpea
20,60,78,18.17234999,14.70085967,Loamy,Winter,chickpea
56,67,78,17.57445618,16.71826572,Black,Summer,chickpea
37,66,85,20.93175255,18.91295403,Loamy,Summer,chickpea
49,71,76,19.71098332,17.63879418,Clay,Summer,chickpea
59,69,80,19.07937684,17.86754927,Black,Summer,chickpea
20,79,77,18.54988627,16.02542689,Black,Summer,chickpea
24,56,85,18.19903647,17.41333199,Clay,Summer,chickpea
51,72,75,18.88852533,14.99451145,Black,Summer,chickpea
57,73,85,18.49311205,14.72115044,Black,Winter,chickpea
22,64,82,19.48974337,17.17260319,Loamy,Summer,chickpea
52,73,79,17.25769499,18.74943955,Black,Winter,chickpea
29,75,75,19.62416326,18.71483156,Black,Summer,chickpea
44,59,78,20.67526473,19.85388984,Black,Summer,chickpea
41,69,82,20.02381489,16.63294455,Clay,Summer,chickpea
52,56,85,20.118744600000007,14.44228303,Clay,Summer,chickpea
34,76,80,20.65691793,15.84572566,Black,Summer,chickpea
42,74,83,19.2582557,14.2804191,Black,Summer,chickpea
34,71,79,17.927806,15.85622899,Black,Summer,chickpea
27,73,79,19.16288268,15.83500655,Black,Summer,chickpea
30,70,79,20.26942271,19.96978871,Black,Summer,chickpea
57,57,75,17.09104223,18.25142068,Black,Summer,chickpea
27,79,82,17.06579293,17.54024066,Loamy,Summer,chickpea
32,71,85,20.62767492,14.44008871,Loamy,Winter,chickpea
31,76,82,20.8248451,17.85057083,Black,Summer,chickpea
33,75,84,19.46210401,18.72831993,Black,Summer,chickpea
47,80,77,17.18248372,16.42891834,Black,Summer,chickpea
54,62,80,17.48911699,16.39055394,Black,Summer,chickpea
47,79,78,17.48395377,14.76014523,Clay,Summer,chickpea
35,57,83,19.48316794,17.44534641,Black,Summer,chickpea
53,73,77,19.71359733,18.09665739,Black,Summer,chickpea
45,61,78,19.48649305,16.06240074,Loamy,Summer,chickpea
37,78,79,19.95264829,14.82633099,Black,Summer,chickpea
30,75,81,19.41789736,16.80472243,Loamy,Summer,chickpea
37,55,82,19.45591848,18.02235902,Black,Summer,chickpea
53,65,76,20.19137759,16.41998269,Clay,Summer,chickpea
22,60,85,18.8392908,14.74071856,Black,Winter,chickpea
60,61,78,20.71219282,19.83643308,Loamy,Winter,chickpea
42,67,77,18.99424448,15.9362937,Black,Summer,chickpea
39,76,76,19.96837462,15.57324389,Black,Summer,chickpea
35,63,76,17.81564548,17.60756635,Black,Winter,chickpea
30,65,82,20.71424384,15.27824066,Black,Summer,chickpea
57,56,78,17.34150229,18.75626255,Clay,Summer,chickpea
48,65,78,17.43732714,14.33847406,Black,Summer,chickpea
36,56,83,18.89780215,19.76182946,Black,Summer,chickpea
40,58,75,18.59190771,14.77959596,Black,Summer,chickpea
49,69,82,18.31561493,15.36143547,Black,Summer,chickpea
13,60,25,17.13692774,20.59541693,Sandy,Winter,kidneybeans
25,70,16,19.63474332,18.90705639,Sandy,Winter,kidneybeans
31,55,22,22.91350245,21.33953114,Sandy,Winter,kidneybeans
40,64,16,16.43340342,24.24045875,Sandy,Monsoon,kidneybeans
2,61,20,22.13974653,23.02251117,Sandy,Summer,kidneybeans
26,65,22,17.84806561,18.77621951,Sandy,Monsoon,kidneybeans
17,57,21,19.88394011,20.31564139,Sandy,Summer,kidneybeans
26,80,18,19.32509638,23.3334788,Sandy,Winter,kidneybeans
17,59,17,18.416700100000003,23.42829938,Sandy,Monsoon,kidneybeans
27,59,22,21.81167649,23.20591245,Sandy,Monsoon,kidneybeans
28,58,24,19.72702528,18.28173015,Sandy,Monsoon,kidneybeans
25,57,19,17.15432954,19.87070659,Sandy,Summer,kidneybeans
28,80,17,19.62207826,18.67170854,Sandy,Monsoon,kidneybeans
25,60,22,21.63149148,21.17919701,Sandy,Monsoon,kidneybeans
12,78,23,16.06522754,18.72479695,Sandy,Summer,kidneybeans
6,77,25,20.61162204,24.36314135,Sandy,Summer,kidneybeans
22,79,17,21.42451099,20.39659714,Sandy,Winter,kidneybeans
27,80,15,19.07096165,21.21092266,Sandy,Summer,kidneybeans
10,55,23,21.18853178,19.63438599,Sandy,Monsoon,kidneybeans
23,65,20,23.0429097,22.42610972,Sandy,Winter,kidneybeans
19,78,16,20.65375833,23.10538637,Sandy,Summer,kidneybeans
19,65,25,18.09551014,18.29318436,Sandy,Monsoon,kidneybeans
22,70,19,18.23775702,21.07643273,Sandy,Summer,kidneybeans
37,64,22,17.48189735,18.8251973,Sandy,Winter,kidneybeans
11,71,17,19.9191786,21.47324158,Sandy,Summer,kidneybeans
18,79,20,20.27514686,23.2353604,Sandy,Monsoon,kidneybeans
21,63,17,15.77370214,19.2303162,Sandy,Winter,kidneybeans
24,80,22,16.71170642,19.17651433,Sandy,Winter,kidneybeans
34,60,22,17.66148158,18.15302753,Sandy,Winter,kidneybeans
16,75,21,18.50692825,23.61670065,Sandy,Summer,kidneybeans
17,77,23,24.51324787,20.81527638,Sandy,Summer,kidneybeans
37,72,18,18.87614998,24.54038287,Sandy,Winter,kidneybeans
40,73,20,21.59343016,20.31871249,Sandy,Summer,kidneybeans
9,77,17,20.12373284,24.45202552,Sandy,Winter,kidneybeans
1,62,23,15.43546065,18.37477907,Sandy,Monsoon,kidneybeans
